group,candidate,species,reactions,fuel_observable,count,success,E_full_group,E_success_subset
Kimi 专家 Solo,candidate_3,49,290,ic4h8/ignition_delay,28,28,4.896705723992637,4.896705723992637
Kimi 专家 Solo,candidate_3,49,290,ic4h8/laminar_flame_speed,18,18,2.1227112055003037,2.1227112055003037
Kimi 专家 Solo,candidate_3,49,290,pc3h4/ignition_delay,26,26,2.0505289244817826,2.0505289244817826
GPT 普通 Solo,candidate_1,101,542,ac3h4/ignition_delay,20,20,2.5491425870581264,2.5491425870581264
GPT 普通 Solo,candidate_1,101,542,c2h2/ignition_delay,9,9,8.339605590028398,8.339605590028398
GPT 普通 Solo,candidate_1,101,542,c2h2/laminar_flame_speed,12,12,2.609726121874681,2.609726121874681
GPT 普通 Solo,candidate_1,101,542,c2h4/ignition_delay,38,38,1.4798331131628715,1.4798331131628715
GPT 普通 Solo,candidate_1,101,542,c2h4/laminar_flame_speed,33,33,1.7071308242137946,1.7071308242137946
GPT 普通 Solo,candidate_1,101,542,c2h6/ignition_delay,42,42,3.8890904961925394,3.8890904961925394
GPT 普通 Solo,candidate_1,101,542,c2h6/laminar_flame_speed,55,55,1.855816380068065,1.855816380068065
GPT 普通 Solo,candidate_1,101,542,c3h6/ignition_delay,25,25,2.9530762082209794,2.9530762082209794
GPT 普通 Solo,candidate_1,101,542,c3h6/laminar_flame_speed,28,28,2.4402944869044307,2.4402944869044307
GPT 普通 Solo,candidate_1,101,542,c3h8/ignition_delay,46,46,1.3670224868840872,1.3670224868840872
GPT 普通 Solo,candidate_1,101,542,c3h8/laminar_flame_speed,21,21,2.12045571618927,2.12045571618927
GPT 普通 Solo,candidate_1,101,542,c4h10/ignition_delay,4,4,2.131259662197083,2.131259662197083
GPT 普通 Solo,candidate_1,101,542,c4h10/laminar_flame_speed,9,9,0.9281678044238445,0.9281678044238445
GPT 普通 Solo,candidate_1,101,542,c4h6/ignition_delay,24,24,1.285899523573017,1.285899523573017
GPT 普通 Solo,candidate_1,101,542,c4h6/laminar_flame_speed,21,21,1.1485320757228479,1.1485320757228479
GPT 普通 Solo,candidate_1,101,542,c4h81/ignition_delay,15,15,3.649434323110421,3.649434323110421
GPT 普通 Solo,candidate_1,101,542,c4h81/laminar_flame_speed,9,9,1.6697055000619854,1.6697055000619854
GPT 普通 Solo,candidate_1,101,542,c4h82/laminar_flame_speed,7,7,5.060727842615988,5.060727842615988
GPT 普通 Solo,candidate_1,101,542,ch3cho/laminar_flame_speed,15,15,1.650872557876504,1.650872557876504
GPT 普通 Solo,candidate_1,101,542,ch3oh/ignition_delay,8,8,15.422191514273441,15.422191514273441
GPT 普通 Solo,candidate_1,101,542,ch3oh/laminar_flame_speed,12,12,3.9127180048623544,3.9127180048623544
GPT 普通 Solo,candidate_1,101,542,ch4/ignition_delay,35,35,3.3454028406714107,3.3454028406714107
GPT 普通 Solo,candidate_1,101,542,ch4/laminar_flame_speed,13,13,1.7451540884437513,1.7451540884437513
GPT 普通 Solo,candidate_1,101,542,h2/laminar_flame_speed,21,21,3.7240006578406994,3.7240006578406994
GPT 普通 Solo,candidate_1,101,542,h2plusco/laminar_flame_speed,12,12,2.0751812092593482,2.0751812092593482
GPT 普通 Solo,candidate_1,101,542,ic4h10/laminar_flame_speed,4,4,2.133704062728831,2.133704062728831
GPT 普通 Solo,candidate_1,101,542,ic4h8/ignition_delay,28,28,4.810972048760996,4.810972048760996
GPT 普通 Solo,candidate_1,101,542,ic4h8/laminar_flame_speed,18,18,2.361447691280429,2.361447691280429
GPT 普通 Solo,candidate_1,101,542,pc3h4/ignition_delay,26,26,1.757457530051846,1.757457530051846
GPT 普通 Solo,candidate_2,87,513,ac3h4/ignition_delay,20,20,2.4427611481589873,2.4427611481589873
GPT 普通 Solo,candidate_2,87,513,c2h2/ignition_delay,9,9,8.223756631225392,8.223756631225392
GPT 普通 Solo,candidate_2,87,513,c2h2/laminar_flame_speed,12,12,2.2491651051988937,2.2491651051988937
GPT 普通 Solo,candidate_2,87,513,c2h4/ignition_delay,38,38,1.4780777726942886,1.4780777726942886
GPT 普通 Solo,candidate_2,87,513,c2h4/laminar_flame_speed,33,33,1.680929916036612,1.680929916036612
GPT 普通 Solo,candidate_2,87,513,c2h6/ignition_delay,42,42,3.8829635516724372,3.8829635516724372
GPT 普通 Solo,candidate_2,87,513,c2h6/laminar_flame_speed,55,55,1.8237143377598672,1.8237143377598672
GPT 普通 Solo,candidate_2,87,513,c3h6/ignition_delay,25,25,2.985119133423753,2.985119133423753
GPT 普通 Solo,candidate_2,87,513,c3h6/laminar_flame_speed,28,28,2.2866569030823527,2.2866569030823527
GPT 普通 Solo,candidate_2,87,513,c3h8/ignition_delay,46,46,1.3620587004306106,1.3620587004306106
GPT 普通 Solo,candidate_2,87,513,c3h8/laminar_flame_speed,21,21,2.061623954410498,2.061623954410498
GPT 普通 Solo,candidate_2,87,513,c4h10/ignition_delay,4,4,2.1385556419569456,2.1385556419569456
GPT 普通 Solo,candidate_2,87,513,c4h10/laminar_flame_speed,9,9,0.9671607543167376,0.9671607543167376
GPT 普通 Solo,candidate_2,87,513,c4h6/ignition_delay,24,24,1.3978999165204051,1.3978999165204051
GPT 普通 Solo,candidate_2,87,513,c4h6/laminar_flame_speed,21,21,0.9874388234983953,0.9874388234983953
GPT 普通 Solo,candidate_2,87,513,c4h81/ignition_delay,15,15,3.401468917762398,3.401468917762398
GPT 普通 Solo,candidate_2,87,513,c4h81/laminar_flame_speed,9,9,1.559892879080468,1.559892879080468
GPT 普通 Solo,candidate_2,87,513,c4h82/laminar_flame_speed,7,7,4.790429467188873,4.790429467188873
